antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Rainfall_mm_Medium'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.33357,0.73156,0.27211,0.815750816919987,1.1150839533599253,1.0,0.028083530800000034,1.456939973966809,0.15486478259114625,0.3431313207737511,0.31362992445234306,0.5938546856211286
frozenset({'Rainfall_mm_High'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.44284,0.73156,0.35434,0.8001535543311353,1.0937634019508111,1.0,0.030375969599999997,1.3432312949152538,0.1538615272342895,0.43209033485354736,0.2555265770046764,0.6422578696255162
frozenset({'Yield_tons_per_hectare_Low'}),frozenset({'Fertilizer_Used_False'}),0.18082,0.50098,0.15253,0.8435460679128415,1.683791903694442,1.0,0.0619427964,3.1895650901378576,0.49574255045549775,0.28818939293744217,0.6864776319843724,0.5740046599694353
"frozenset({'Rainfall_mm_Medium', 'Temperature_Celsius_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.13436,0.73156,0.11107,0.8266597201548079,1.1299957900306303,1.0,0.012777598399999993,1.5486302447402316,0.13289699037911615,0.14714181625488507,0.3542680679288032,0.4892429772516617
"frozenset({'Rainfall_mm_Medium', 'Fertilizer_Used_True'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.16634,0.73156,0.16303,0.9801009979559938,1.339741098414339,1.0,0.041342309600000016,13.49012374622361,0.3041853138561404,0.22184876236613282,0.9258716955595061,0.6014767661331175
"frozenset({'Rainfall_mm_Medium', 'Irrigation_Used_True'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.16652,0.73156,0.16003,0.9610257026183041,1.3136662783890647,1.0,0.03821062880000001,6.887616147919878,0.28647557267563856,0.21682812817559788,0.8548118857782153,0.5898887056478256
"frozenset({'Temperature_Celsius_Medium', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.1781,0.73156,0.14731,0.8271195957327344,1.130624413216598,1.0,0.017019164000000003,1.552749723936343,0.14056817722576467,0.19323145536826913,0.3559812089581822,0.5142419018633053
"frozenset({'Rainfall_mm_High', 'Weather_Condition_Rainy'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.14642,0.73156,0.11738,0.801666439011064,1.0958314273758325,1.0,0.010264984800000002,1.3534774380165289,0.10245189004824123,0.15432553247436234,0.26116241622360326,0.4810590383037167
"frozenset({'Weather_Condition_Sunny', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.14904,0.73156,0.11938,0.8009930220075148,1.094910905472572,1.0,0.0103482976,1.3488974241402563,0.10186575045620133,0.15682719844460208,0.2586537848588689,0.48208927167957344
"frozenset({'Fertilizer_Used_False', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.22188,0.73156,0.2138,0.9635839192356228,1.31716321181533,1.0,0.05148146719999999,7.371468712871278,0.30945438183331897,0.28905954248012544,0.8643418240039592,0.6279180463366041
"frozenset({'Irrigation_Used_False', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.22255,0.73156,0.2075,0.9323747472478094,1.2745020876589883,1.0,0.044691322000000006,3.9695230564784034,0.277033719287724,0.2779228780755682,0.7480805664126413,0.6080075934281586
"frozenset({'Irrigation_Used_False', 'Yield_tons_per_hectare_Low'})",frozenset({'Fertilizer_Used_False'}),0.13779,0.50098,0.11051,0.8020175629581247,1.600897367076779,1.0,0.041479965800000004,2.520526605571847,0.43533517069625244,0.2091962291295953,0.603257510637098,0.511302605583817
"frozenset({'Irrigation_Used_True', 'Fertilizer_Used_False'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.24862,0.73156,0.20084,0.8078191617729868,1.1042418417805606,1.0,0.0189595528,1.3968093930514858,0.12563719906006954,0.25770523776528853,0.28408270664948165,0.5411778842382349
"frozenset({'Irrigation_Used_False', 'Fertilizer_Used_True'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.24744,0.73156,0.20743,0.8383042353701908,1.1459131655232528,1.0,0.026412793600000012,1.6601548012996759,0.16920049890380187,0.2688414531409982,0.3976465331924856,0.5609244945236322
"frozenset({'Irrigation_Used_False', 'Fertilizer_Used_False', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.1116,0.73156,0.10928,0.9792114695340501,1.3385251647630407,1.0,0.027637904000000005,12.912889655172389,0.2846792859059306,0.14890717828527825,0.92255800005234,0.5642954389608028
"frozenset({'Irrigation_Used_True', 'Fertilizer_Used_False', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.11028,0.73156,0.10452,0.9477693144722524,1.2955455662860906,1.0,0.0238435632,5.139507499999999,0.25640022560536213,0.14175663212716325,0.8054288275676219,0.5453210397611412
