antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Yield_tons_per_hectare_High'}),frozenset({'Rainfall_mm_High'}),0.08732,0.44284,0.08618,0.9869445716903346,2.2286707878473817,1.0,0.04751121120000001,42.67650105263209,0.6040474823174853,0.19410784269561696,0.9765679009446739,0.590776052442584
frozenset({'Yield_tons_per_hectare_High'}),frozenset({'Fertilizer_Used_True'}),0.08732,0.49901,0.08155,0.9339212093449382,1.8715480838959904,1.0,0.0379764468,7.581706551126517,0.5102368599230079,0.16155552914140814,0.8681035736141203,0.548672394015368
"frozenset({'Rainfall_mm_Medium', 'Yield_tons_per_hectare_Low'})",frozenset({'Fertilizer_Used_False'}),0.06032,0.50098,0.05815,0.9640251989389921,1.9242788114076252,1.0,0.027930886400000004,13.87137622119817,0.5111578277905551,0.11557189704859386,0.9279090997134225,0.54004884842155
"frozenset({'Rainfall_mm_Medium', 'Fertilizer_Used_True'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.16634,0.73156,0.16303,0.9801009979559938,1.339741098414339,1.0,0.041342309600000016,13.49012374622361,0.3041853138561404,0.22184876236613282,0.9258716955595061,0.6014767661331175
"frozenset({'Rainfall_mm_Medium', 'Yield_tons_per_hectare_Low'})",frozenset({'Irrigation_Used_False'}),0.06032,0.4998,0.05497,0.9113063660477454,1.82334206892306,1.0,0.024822063999999998,5.639638130841123,0.48054290622617524,0.10881916262496286,0.822683658632038,0.5106451798225922
"frozenset({'Rainfall_mm_Medium', 'Irrigation_Used_True'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.16652,0.73156,0.16003,0.9610257026183041,1.3136662783890647,1.0,0.03821062880000001,6.887616147919878,0.28647557267563856,0.21682812817559788,0.8548118857782153,0.5898887056478256
"frozenset({'Fertilizer_Used_False', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.22188,0.73156,0.2138,0.9635839192356228,1.31716321181533,1.0,0.05148146719999999,7.371468712871278,0.30945438183331897,0.28905954248012544,0.8643418240039592,0.6279180463366041
"frozenset({'Fertilizer_Used_True', 'Yield_tons_per_hectare_High'})",frozenset({'Rainfall_mm_High'}),0.08155,0.44284,0.08041,0.986020846106683,2.2265848751392894,1.0,0.044296397999999994,39.85648947368401,0.5997949874848286,0.18111176179107163,0.9749099829612372,0.583799421337146
"frozenset({'Yield_tons_per_hectare_High', 'Rainfall_mm_High'})",frozenset({'Fertilizer_Used_True'}),0.08618,0.49901,0.08041,0.9330471106985379,1.8697964183053202,1.0,0.03740531819999999,7.482724124783353,0.5090525679124444,0.1592971195372241,0.86635883091187,0.5470930830140451
frozenset({'Yield_tons_per_hectare_High'}),"frozenset({'Fertilizer_Used_True', 'Rainfall_mm_High'})",0.08732,0.22095,0.08041,0.9208657810352726,4.167756420164166,1.0,0.061116646,9.84466657018814,0.8327812085165468,0.3528921267444922,0.8984221565179034,0.6423971358220038
"frozenset({'Irrigation_Used_False', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.22255,0.73156,0.2075,0.9323747472478094,1.2745020876589883,1.0,0.044691322000000006,3.9695230564784034,0.277033719287724,0.2779228780755682,0.7480805664126413,0.6080075934281586
"frozenset({'Irrigation_Used_True', 'Yield_tons_per_hectare_High'})",frozenset({'Rainfall_mm_High'}),0.07458,0.44284,0.07344,0.9847144006436044,2.2236347227974083,1.0,0.040412992800000005,36.449993684211,0.5946336254600102,0.16541285643497455,0.9725651529966336,0.5752765391349175
"frozenset({'Irrigation_Used_True', 'Yield_tons_per_hectare_High'})",frozenset({'Fertilizer_Used_True'}),0.07458,0.49901,0.06882,0.9227674979887371,1.8491964048590952,1.0,0.03160383420000001,6.486776770833352,0.4962336665741084,0.1363393228599164,0.8458402323174855,0.5303402829315642
"frozenset({'Fertilizer_Used_False', 'Region_East', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.05476,0.73156,0.0527,0.9623813002191379,1.3155193015188609,1.0,0.012639774399999998,7.1358128155339555,0.2537386446918654,0.07183555519206128,0.8598617948857769,0.5172095685851554
"frozenset({'Irrigation_Used_False', 'Region_East', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.0546,0.73156,0.0509,0.9322344322344323,1.2743102851911425,1.0,0.010956823999999997,3.961303783783785,0.22769385252050767,0.06922721214264342,0.7475578611027874,0.5009058869029344
"frozenset({'Region_North', 'Rainfall_mm_High', 'Fertilizer_Used_False'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.0557,0.73156,0.05356,0.9615798922800719,1.3144238234458854,1.0,0.012812108000000003,6.986966355140203,0.2533203228648255,0.07299986370451139,0.8568763682017282,0.5173966496230038
"frozenset({'Region_North', 'Irrigation_Used_False', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.0553,0.73156,0.05132,0.9280289330922241,1.2685616122973156,1.0,0.010864731999999995,3.7298321608040146,0.22409824478377577,0.06977186828724474,0.7318914211452248,0.49909019512613284
"frozenset({'Fertilizer_Used_False', 'Region_South', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.05548,0.73156,0.05352,0.9646719538572458,1.3186504919039392,1.0,0.012933051199999997,7.598495510204071,0.25584311471911575,0.07296324571927146,0.8683950002132537,0.5189153415740382
"frozenset({'Irrigation_Used_False', 'Region_South', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.05622,0.73156,0.05246,0.9331198861615083,1.275520649244776,1.0,0.011331696799999999,4.013749148936168,0.22887369951643663,0.07134308872327694,0.7508563781906881,0.5024148285310248
"frozenset({'Fertilizer_Used_False', 'Region_West', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.05594,0.73156,0.05402,0.9656775116195925,1.3200250309196682,1.0,0.013096533600000002,7.821111250000013,0.25680423693726195,0.0736489065823199,0.8721409313797962,0.5197598559246194
